body,label
What r u cooking me for dinner?,0
I have no idea where you are,0
Cos i was out shopping wif darren jus now n i called him 2 ask wat present he wan lor. Then he started guessing who i was wif n he finally guessed darren lor.,0
Hey what are you doing. Y no reply pa..,0
Can you do online transaction?,0
Sounds great! Im going to sleep now. Have a good night!,0
Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo,1
"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary",0
Sounds gd Haha Can Wah u yan jiu so fast liao,0
Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/,0
Our Prashanthettans mother passed away last night pray for her and family,0
Were somewhere on Fredericksburg,0
watch lath heaven e pm edt seen origin air west coast catch gg,0
Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..,0
When u wana see it then,0
"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem",0
"Huh... Hyde park not in mel ah, opps, got confused... Anyway, if tt's e best choice den we juz have to take it...",0
Sir send to group mail check it,0
Dhoni have luck to win some big title.so we will win:),0
Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,1
Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,0
Im in solihull  do you want anything,0
Almost there see u in a sec,0
Ok i am on the way to railway,0
Umma Did she say anything,0
Yup. Wun believe wat? U really neva c e msg i sent shuhui?,0
Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday evei already see in netno ticket availablei want to book ticket through tackle ,0
url http jeremi zawodni com blog archiv html date watch yahoo shop shop meta site googl googl catalog question mind mind hit big christma shop season next year googl product search rate,0
Kit Strip  you have been billed 150p Netcollex Ltd PO Box 1013 IG11 OJA,1
You busy or can I come by at some point and figure out what we're doing tomorrow,0
Dear i am not denying your words please,0
IM REALY SOZ IMAT MY MUMS 2NITE WHAT ABOUT 2MORO,0
RCT THNQ Adrian for U text Rgds Vatian,1
"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",0
thought might like slim guarante lose lbs day http www freeyanke com cgi fy cgi l slim fight risk cancer http www freeyanke com cgi fy cgi l nic get child support deserv free legal advic http www freeyanke com cgi fy cgi l ppl offer manag daili deal wish leav list pleas use link http www qves com trim social linux ie c c irish linux user group social event social linux ie http www linux ie mailman listinfo social un subscript inform list maintain listmast linux ie,1
LOOK AT AMY URE A BEAUTIFUL INTELLIGENT WOMAN AND I LIKE U A LOT I KNOW U DONT LIKE ME LIKE THAT SO DONT WORRY,0
url http www newsisfre com click date money evid slowdown hous market emerg today figur reveal drop total valu mortgag approv august,0
mon sep tom reingold noglid pobox com wrote work use outlook ick hate ahh work fire peopl use outlook liter true get escort door badg confisc told return next day collect offic content thing right like make indic folder date also sender messag size subject sort column instant look use custom sequenc file mime handl pretti bad compar modern mailer thing actual miss regard support mime j c lawrenc satan oscil metal sonata claw kanga nu live devil eh http www kanga nu claw evil name foeman live _______________________________________________ exmh user mail list exmh user redhat com https listman redhat com mailman listinfo exmh user,0
Sounds like there could be a lot of time spent in that chastity device boy  grins  Or take your beatings like a good dog Going to lounge in a nice long bath now ,0
At what time are you coming.,0
"I've got  &lt;#&gt; , any way I could pick up?",0
"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?",0
Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,0
tap & spile at seven. * Is that pub on gas st off broad st by canal. Ok?,0
url http www newsisfre com click date game industri know mean say game addict think qualiti game good thing peopl like keep come back want play agre good thing game qualiti probabl darn good game use word addict describ qualiti us favor general public,0
want teach grow rich motiv qualifi communic person train minut present per day qualifi prospect provid demonstr make day part time use system hour per week case make excess per week current generat verifi way plus introduc mentor make well excess annual mani call chosen opportun limit one qualifi individu per state make call call hour pre record messag number take much littl time need see program right pleas make call unless genuin money motiv qualifi need peopl alreadi peopl skill place either made larg amount money past readi generat larg amount money futur look forward call _______________________________________________________________ taken databas secco poetic com dmel bmbl zuad guslwrmh opgxmkeq quhl,1
You have 1 new message. Please call 08718738034.,1
Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's,1
Ok then i'll let him noe later n ask him call u tmr...,0
Go where n buy? Juz buy when we get there lar.,0
I've told him that i've returned it. That should i re order it.,0
Mm i had my food da from out,0
URGENT! We are trying to contact U Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm,1
important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,1
"If i let you do this, i want you in the house by 8am.",0
"That's what I love to hear :V see you sundayish, then",0
No my blankets are sufficient thx,0
No I meant the calculation is the same That  ltgt units at  ltgt  This school is really expensive Have you started practicing your accent Because its important And have you decided if you are doing 4years of dental school or if youll just do the nmde exam,0
Ask g or iouri Ive told the story like ten times already,0
"Erm … ill pick you up at about 6.45pm. That'll give enough time to get there, park and that.",0
How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem,0
Well keep in mind I've only got enough gas for one more round trip barring a sudden influx of cash,0
Ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! But you can call me there.xx,0
worthi studi procrastin tool choic phrase ol dubya histori say believ liberti justic see oppress cri want keep peac got author use forc white hous sep unit state remain strong convict must allow world worst leader hold unit state friend alli blackmail threaten us world worst weapon what truli sad unit state friend alli blackmail said thing speech paragraph two find neighbor need respons serv neighbor need respons love neighbor like like love snerk beg potti mouth comedi bad kid southpark polit want send signal enemi arous compassion decent mighti nation go hunt make one louisvill kentucki sep hee mkay http www dubyaspeak com best regard bitbitch mailto bitbitch magnesium net,0
You said not now. No problem. When you can. Let me know.,0
